distance,rotation,speed,damage,weaponName
"982.3024496050084","62250.0","-23.43","7","XWeapons.AssaultRiflePickup"
"711.7926774700622","65548.0","33.89","7","XWeapons.AssaultRiflePickup"
"686.4946186242104","62168.0","33.89","7","XWeapons.AssaultRiflePickup"
"460.1422160593398","94513.0","-29.54","7","XWeapons.AssaultRiflePickup"
"705.9361206228223","64788.0","0.0","7","XWeapons.AssaultRiflePickup"
"975.2973267675865","97989.0","0.0","7","XWeapons.AssaultRiflePickup"
"939.6888846847129","100233.0","0.0","7","XWeapons.AssaultRiflePickup"
"868.7968444924281","116287.0","-210.28","7","XWeapons.AssaultRiflePickup"
"1045.031939129135","44986.0","-63.15","7","XWeapons.AssaultRiflePickup"
"865.0984561886585","116582.0","-210.28","7","XWeapons.AssaultRiflePickup"
"1084.371180085491","42720.0","-63.15","7","XWeapons.AssaultRiflePickup"
"1645.472848180729","102089.0","0.0","7","XWeapons.AssaultRiflePickup"
"697.2968688442533","88605.0","0.0","7","XWeapons.AssaultRiflePickup"
"1290.629772049289","46014.0","-139.82","7","XWeapons.AssaultRiflePickup"
"540.9661640065854","78073.0","454.67","7","XWeapons.AssaultRiflePickup"
"509.251026704905","74187.0","454.67","7","XWeapons.AssaultRiflePickup"
"651.8034861060503","78853.0","-52.41","7","XWeapons.AssaultRiflePickup"
"634.4904438996698","79585.0","-52.41","7","XWeapons.AssaultRiflePickup"
"349.71932660349216","92826.0","-211.19","7","XWeapons.AssaultRiflePickup"
"804.8578732919246","80978.0","82.95","7","XWeapons.AssaultRiflePickup"
"279.3371316169764","92615.0","-211.19","7","XWeapons.AssaultRiflePickup"
"389.08496000231105","85887.0","454.65","7","XWeapons.AssaultRiflePickup"
"906.4554023778555","59785.0","-211.75","7","XWeapons.AssaultRiflePickup"
"244.33140240255645","67232.0","454.65","7","XWeapons.AssaultRiflePickup"
"206.60085987236357","64930.0","454.65","7","XWeapons.AssaultRiflePickup"
"511.382141651427","74435.0","0.0","7","XWeapons.AssaultRiflePickup"
"462.8169417815213","75516.0","0.0","7","XWeapons.AssaultRiflePickup"
"233.97085074854942","83171.0","0.0","7","XWeapons.AssaultRiflePickup"
"989.0185386533459","78182.0","257.35","7","XWeapons.AssaultRiflePickup"
"233.97085074854942","83171.0","0.0","7","XWeapons.AssaultRiflePickup"
"233.97085074854942","83171.0","0.0","7","XWeapons.AssaultRiflePickup"
"233.97085074854942","83171.0","0.0","7","XWeapons.AssaultRiflePickup"
"711.8853085294006","51711.0","0.0","7","XWeapons.AssaultRiflePickup"
"205.20862798625214","122254.0","0.0","7","XWeapons.AssaultRiflePickup"
"205.20862798625214","122254.0","0.0","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","104985.0","0.0","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","98319.0","0.0","7","XWeapons.AssaultRiflePickup"
"908.5959322493139","78713.0","8.72","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","104919.0","0.0","7","XWeapons.AssaultRiflePickup"
"850.8610091548442","79297.0","8.72","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","44669.0","0.0","7","XWeapons.AssaultRiflePickup"
"205.20862798625214","66618.0","0.0","7","XWeapons.AssaultRiflePickup"
"205.20862798625214","66618.0","0.0","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","45301.0","0.0","7","XWeapons.AssaultRiflePickup"
"1216.2207566885215","101620.0","185.05","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","45301.0","0.0","7","XWeapons.AssaultRiflePickup"
"548.4833032098608","79359.0","-439.28","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","45301.0","0.0","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","45301.0","0.0","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","45301.0","0.0","7","XWeapons.AssaultRiflePickup"
"205.20862798625214","70550.0","0.0","7","XWeapons.AssaultRiflePickup"
"205.20862798625214","70550.0","0.0","7","XWeapons.AssaultRiflePickup"
"240.32694335009555","45301.0","0.0","7","XWeapons.AssaultRiflePickup"
"571.2432551024126","70058.0","-252.26","7","XWeapons.AssaultRiflePickup"
"1061.1686634555322","99471.0","0.0","7","XWeapons.AssaultRiflePickup"
"509.3357040302595","83313.0","0.0","7","XWeapons.AssaultRiflePickup"
"417.0861976858021","100019.0","0.0","7","XWeapons.AssaultRiflePickup"
"475.30730312083364","86330.0","0.0","7","XWeapons.AssaultRiflePickup"
"417.0861976858021","37783.0","0.0","7","XWeapons.AssaultRiflePickup"
"417.0861976858021","99870.0","0.0","7","XWeapons.AssaultRiflePickup"
"417.0861976858021","38551.0","0.0","7","XWeapons.AssaultRiflePickup"
"443.6455951545108","18594.0","0.0","7","XWeapons.AssaultRiflePickup"
"671.7788677831418","65640.0","-418.47","7","XWeapons.AssaultRiflePickup"
"417.0861976858021","38402.0","0.0","7","XWeapons.AssaultRiflePickup"
